open,open close,close,area,adress,name,category,mub
20201012,03,20210223,39.70,중구 대안동 0082-0009 ,콧다케이크,커피숍,N
20201116,03,20201216,33.06,중구 계산동2가 0200 현대백화점 8층 ,시노베,아이스크림,N
20201113,03,20210402,47.70,중구 남산동 625-0003 1층 ,문우관25,커피숍,N
20201111,03,20201123,,중구 대신동 0115-0038 서문야시장판매대 제45호,대신신쭈꾸미,일반조리판매,N
20210412,03,20210430,8.00,중구 계산동2가 200 현대백화점 지하1층 ,에밀리키친,커피숍,N
20210408,03,20210507,33.06,중구 계산동2가 0200 현대백화점 8층 ,시노베,일반조리판매,N
20210305,03,20210411,12.00,중구 대봉동 0214 대백프라자식품관 ,갓호두,기타 휴게음식점,N
20210225,03,20210314,,중구 계산동2가 0200 현대백화점 지하1층 ,로우동인,기타 휴게음식점,N
20160901,03,20200904,16.24,중구 대봉동 0214 대백프라자 식품관 ,다카라함바그,패스트푸드,N
20160901,03,20180821,174.85,"중구 봉산동 0027번지 지상1,2층 ",심리카페멘토대구동성로점,커피숍,Y
20160902,03,20200213,12.00,중구 남일동 0119-0003번지 경안빌딩 101호 ,폰앤아트,커피숍,N
20160902,03,20200203,91.60,중구 동성로3가 0102번지 지상4층 ,50로스팅카페,커피숍,N
20160902,03,20180531,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제17호 ,팟타이,일반조리판매,N
20160906,03,20200115,90.27,"중구 동성로3가 0066-0001번지 지상1,2층 ",연운당,커피숍,N
20160407,03,20160502,9.60,중구 계산동2가 0200번지 현대백화점 식품관 ,스위트몬스터,백화점,N
20160411,03,20171201,59.20,중구 봉산동 0034-0008번지 지상1층 ,하이파이브,일반조리판매,N
20160412,03,20190225,,중구 대봉동 0007-0047번지 지상1층 ,세컨드프로젝트(SecondProject),커피숍,N
20160414,03,20180306,,중구 대신동 0122-0006번지 지상1층 ,삼송꾼만두,일반조리판매,N
20160420,03,20190524,46.95,중구 태평로3가 0186-0001번지 지상1층 ,에비드커피,커피숍,N
20160426,03,20160513,,중구 대봉동 0009-0007번지 지상1층 ,대구중구시니어클럽마실김밥2호점,일반조리판매,N
